keys,en
La hiedra tapa el camino al río. A mano no. Haría falta un hacha... y saber usarla.,The ivy blocks the path to the river. Not by hand. I'd need an axe... and know how to use it.
Una pelota del bosque. Si mirás bien... hay huellas. El policía sabría leerlas.,A ball from the woods. If you look close... there are prints. The chief would know how to read them.
La máscara del mozo. Cocina fría y una mentira a medio decir. Si me la pongo... el bar se confunde.,The bartender's mask. A cold kitchen and a lie half-told. If I put it on... the bar gets confused.
Una máscara abandonada... Aquí nadie pareciera notarla. Como si no existiera para ellos.,An abandoned mask... Nobody here seems to notice it. As if it didn't exist for them.
Puedo ponérmela... o acercársela a alguien. Las máscaras de este pueblo guardan memorias.,I could put it on... or hold it out to someone. The masks in this town keep memories.
El mozo juró que hace años no va al bosque. Esto podría decir más que su boca.,The bartender swore he hasn't gone to the woods in years. This might say more than his mouth.
Mejor la guardo. Puede decir más que cualquier testimonio.,Better keep it. It might say more than any testimony.
El tronco vacío. El hacha ya cumplió su función.,The empty log. The axe already did its job.
"Un hacha clavada en el tronco. Quedó a medias, como si alguien hubiera caído de golpe.","An axe stuck in the log. Left half-done, like someone dropped all at once."
Está trabada. Solo un leñador la sacaría...,It's stuck. Only a lumberjack could pull it out...
"La máscara del oso. Si me la pongo, quizá el cuerpo recuerde cómo se tala.","The bear mask. If I put it on, maybe the body will remember how to chop."
Está trabada. Quizá solo un leñador podría arrancarla.,It's stuck. Maybe only a lumberjack could wrench it free.
"La hiedra... el río más allá. Cuando la verdad salga, este paso dejará de cerrarse.","The ivy... the river beyond. When the truth comes out, this path will stop closing."
La hiedra tapa el camino al río. Por ahora el pueblo no quiere que pase.,The ivy blocks the path to the river. For now the town doesn't want anyone through.
El hacha del tronco. Con la máscara del oso... siento que sé usarla.,The axe from the log. With the bear mask on... I feel like I know how to use it.
Una máscara de oso tirada en el bosque. Como si alguien la hubiera dejado caer al correr.,A bear mask lying in the woods. Like someone dropped it while running.
Un patito de hule tirado en el bosque. Alguien lo quiere... o lo extraña.,A rubber duck lying in the woods. Someone wants it... or misses it.
"No puedo ""usar"" el cartel. Solo leerlo.","I can't ""use"" the poster. Only read it."
La máscara del policía. Pesa como un silencio. Si me la pongo... la comisaría se pone rara.,The chief's mask. It weighs like a silence. If I put it on... the station gets weird.
"""Se busca al leñador. Desaparecido. Sin él, la caldera del pueblo se queda sin leña. El frío no perdona.""","""Wanted: the lumberjack. Missing. Without him, the town boiler runs out of firewood. The cold does not forgive."""
Claro. Primero como... después veo qué pasó con ese leñador.,Right. First I eat... then I see what happened to that lumberjack.
Un patito tirado... El mozo lo extrañaba. Mejor lo recojo y se lo devuelvo.,A duck lying there... The bartender missed it. Better pick it up and give it back.
"Mejor lo recojo. Si es el del mozo, se lo voy a devolver.","Better pick it up. If it's the bartender's, I'll give it back."
La máscara de oso. Huele a bosque y a memoria.,The bear mask. It smells like woods and memory.
Quizás podría ponérmela... a ver si me da alguna pista.,Maybe I could put it on... see if it gives me a clue.
"Mi credencial de detective. Firma, sello y cara de formal. Sirve para presentarme... si quiero.","My detective badge. Signature, stamp, and a formal face. Good for introducing myself... if I want."
Una pelota de fútbol americano. Tiene marcas... como huellas en el cuero.,A football. It's got marks... like prints in the leather.
Con el hacha del leñador...,With the lumberjack's axe...
¡Ya! El paso al río queda libre.,There! The path to the river is clear.
El hacha vuelve a mi mano. Ahora sí... puedo abrir camino.,The axe is back in my hand. Now... I can cut a path.
"Si me la pongo, el cuerpo puede recordar al leñador. Si no... es solo un objeto más.","If I put it on, the body might remember the lumberjack. If not... it's just another object."
También podría acercársela a alguien. Las máscaras de este pueblo guardan memorias.,I could also hold it out to someone. The masks in this town keep memories.
Arrancarla con las manos no sirve. Está demasiado viva... o demasiado cerrada.,Tearing it out by hand won't work. It's too alive... or too shut.
La máscara del vendedor. Huele a ruta y a trato a medio cerrar. Si me la pongo... la gorra de pato no perdona.,The vendor's mask. It smells like the road and a deal half-closed. If I put it on... the duck cap doesn't forgive.
Ya cumplió su función. Solo queda el tronco... y el recuerdo del golpe.,It already did its job. Only the log is left... and the memory of the blow.
Ya tengo el hacha. Queda el tronco... y el recuerdo del golpe.,I already have the axe. The log is left... and the memory of the blow.
Un cartel del pueblo. Avisa la desaparición... y el frío que viene sin leña.,A town poster. It warns of a disappearance... and the cold that comes without firewood.
Esto huele a evidencia. Me la llevo.,This smells like evidence. I'm taking it.
Una pelota abandonada. Tiene marcas... como huellas. Mejor la llevo.,An abandoned ball. It's got marks... like prints. Better take it.
El patito del mozo. Goma gastada y mucho cariño. Mejor devolvérselo.,The bartender's duck. Worn rubber and a lot of love. Better give it back.
No cede. Como si solo respondiera a quien sabe talar.,It won't give. Like it only answers to someone who knows how to chop.
"Tengo la máscara del oso. Si me la pongo... ¿volveré a ser leñador, aunque sea un rato?","I have the bear mask. If I put it on... will I be a lumberjack again, even for a while?"
Está clavada. No cede. Como si solo respondiera a quien sabe talar.,It's stuck in. It won't give. Like it only answers to someone who knows how to chop.
